"STASLIST","LOC","STA","STA2","STATION","NAME","LHOLD","HOLDCERT","NEARTOWN","COUNTY","STATE","REGION","LATITUDE","LONGITUDE","PRECISION","SOURCE","DATUM","DECLAT","DECLNG","NAD83","ELEV","STRATUM","BCR","HABITAT","D89","D90","D91","D92","D93","D94","D95","D96","D97","D98","D99","D00","D01","D02","D03","D04","D05","D06","Y07","D07","Y08","D08","Y09","D09","Y10","D10","Y11","D11","Y12","D12","Y13","D13","Y14","D14","Y15","D15","Y16","D16","Y17","D17","Y18","D18","HISTORY","YRSOP"
"11908 - MTBA - BETH - Bench Thin","MTBA",11908,"11141S","BETH","Bench Thin","AF","+","Silverton","Snohomish","WA","1","48 10 05","-121 27 13","01S","GPS -SPORTTRAK","NAD83",48.16806,-121.45361,"x",354,67,9,"mixed coniferous forest",,,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,"93-11",19
"11911 - TBWR - TBWR - Turnbull NWR","TBWR",11911,"11911U","TBWR","Turnbull NWR","IW","+","Cheney","Spokane","WA","1","47 25 24","-117 34 38","01S","-","NAD83",47.42333,-117.57722,"x",695,65,9,"aspen",,,,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","94-",29
"11915 - FTLE - FTLE - Fort Lewis","FTLE",11915,"11915U","FTLE","Fort Lewis","DA","+","Roy","Pierce","WA","1","47 03 20","-122 29 15","01S","-","-",47.05556,-122.4875,"-",107,93,5,"douglas-fir/cedar forest",,,,,,"X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,"94-06",13
"11948 - SPOK - LISP - Little Spokane","SPOK",11948,"11948U","LISP","Little Spokane","S","+","Spokane","Spokane","WA","1","47 46 50","-117 29 10","10S","-","-",47.78056,-117.48611,"-",470,65,10,"riparian",,,,,,,,"X","X","X","X","X","X","X","X","X","X","X",,,,,,,"X","L","X","X","X","X","X","X",,,,,,,,,,,"96-06,10-13",15
"11949 - EWAS - MTSP - Mt. Spokane","EWAS",11949,"11949U","MTSP","Mt. Spokane","S","+","Chattaroy","Spokane","WA","1","47 53 50","-117 06 50","10S","-","-",47.89722,-117.11389,"-",1100,64,10,"aspen-fir",,,,,,,,"X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"96-01",6
"11951 - MORS - MORS - Morse","MORS",11951,"11951U","MORS","Morse","P","+","Graham","Pierce","WA","1","47 01 32","-122 20 07","01S","-","-",47.02556,-122.33528,"-",190,93,5,"douglas fir",,,,,,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,"X",,"96-",27
"11956 - COLR - STCL - St. Cloud","COLR",11956,"11956U","STCL","St. Cloud","AF","+","Skamania","Skamania","WA","1","45 36 02","-122 06 27","01S","-","-",45.60056,-122.1075,"-",25,93,5,"hardwood riparian",,,,,,,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","97-",26
"11959 - EWAS - KFGC - Growden","EWAS",11959,"11959U","KFGC","Growden","AF","+","Rice","Ferry","WA","1","48 35 10","-118 18 20","10S","-","-",48.58611,-118.30556,"-",792,64,10,"conifer forest/riparian",,,,,,,,,"X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"97-01",5
"11960 - EWAS - LPOW - Lower Manz - Little Pend","EWAS",11960,"11960U","LPOW","Lower Manz - Little Pend","IW","+","Arden","Stevens","WA","1","48 28 20","-117 41 30","10S","-","-",48.47222,-117.69167,"-",701,64,10,"mixed conifer/riparian",,,,,,,,,"X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"97-01",5
"11964 - BENS - BENS - Bensten","BENS",11964,"11964U","BENS","Bensten","DO","+","Spanaway","Pierce","WA","1","47 06 04","-122 28 46","01S","-","-",47.10111,-122.47944,"-",107,93,5,"wetl./doug. fir for./riparian corridor",,,,,,,,,"X","X","X",,"X","X","X","X","X","X","X","X","X","X","X",,"X",,"X",,,,,,,,,,,,,,,,"97-99,01-11",14
"11988 - COLR - JBHR - Julia Butler Hansen W.R.","COLR",11988,"11988U","JBHR","Julia Butler Hansen W.R.","IW","+","Clatskanie, OR","Wahkiakum","WA","1","46 15 20","-123 24 49","01S","-","-",46.25556,-123.41361,"-",7,93,5,"bottomland riparian forest/fields",,,,,,,,,,"X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"98-02",5
