"LOC","STA","STATION","C","BAND","SPN","NUMB","SPEC","AGE","HA","WRP","SEX","HS","SK","CP","BP","F","BM","FM","FW","JP","WNG","WEIGHT","STATUS","DATE","TIME","NET","ANET","DISP","PPC","SSC","PPF","SSF","TT","RR","HD","UPP","UNP","BPL","NF","FP","N","B","A","BRSTAT","IP","SP","year"
"MORA",11273,"SSPT","U",,36900,"08730","RUHU","1","G",,"U",,,"0","0","0","0","N","1","0",42,3,"000",2018-06-06,"095","02","02",,"B","B","B","B","B","B",,,,"B","B","-","H","*","*","B","04","A",2018
"MORA",11273,"SSPT","U",,36900,"08730","RUHU","1","G",,"M","P",,"0","0","0","0","N","1","0",39,3,"000",2018-06-07,"080","01","01",,"B","B","B","B","B","B",,,,"B","B","-","H","*","*","B","04","B",2018
"MORA",11273,"SSPT","U",,36900,"08730","RUHU","0",,,"F","P",,,,,,,,,0,0,"000",2018-06-11,"103","07","07",,"B","B","B","B","B","B",,,,"B","B","-","H","*","*","B","05","A",2018
"MORA",11273,"SSPT","U",,36900,"08730","RUHU","1","G",,"M","P",,,,,,,,,0,0,"000",2018-06-11,"103","08","08",,"B","B","B","B","B","B",,,,"B","B","-","H","*","*","B","05","A",2018
"MORA",11273,"SSPT","U",,36900,"08730","RUHU","2","I",,"U",,,,,,,,,,0,0,"000",2018-06-26,"064","07","07",,,,,,,,,,,,,"-","H","*","*","B","06","A",2018
"MORA",11273,"SSPT","U",,36900,"08730","RUHU","1","I",,"F","P",,"0","0","0","0","N","1","0",0,0,"000",2018-07-06,"090","01","01",,"B","B","B","B","B","B",,,,"B","B","-","H","*","*","B","07","A",2018
"MORA",11273,"SSPT","U",,36900,"08730","RUHU","0",,,"U",,,,,,,,,,0,0,"000",2018-07-06,"100","04","04",,,,,,,,,,,,,"-","H","*","*","B","07","A",2018
"MORA",11273,"SSPT","U",,36900,"08730","RUHU","1","I",,"F","P",,"0","0","0","0","N","1","0",44,3,"000",2018-07-06,"100","07","07",,"B","B","B","B","B","B",,,,"B","B","-","H","*","*","B","07","A",2018
"MORA",11273,"SSPT","U",,36900,"08730","RUHU","2","P",,"F","P",,,,,,,,,42,0,"000",2018-07-19,,"07","07",,,,,,,,,,,,,"-","H","*","*","B","08","A",2018
"MORA",11273,"SSPT","U",,36900,"08730","RUHU","2","P",,"F","P",,"0","0","0","0","N","1","0",47,3,"000",2018-07-19,"094","01","01",,"B","B","B","B","B","B",,,,"B","B","-","H","*","*","B","08","A",2018
"MORA",11273,"SSPT","U",,36900,"08730","RUHU","2","P",,"F","P",,,,,,,,,43,3,"000",2018-07-27,,"01","01",,,,,,,,,,,,,"-","H","*","*","B","09","A",2018
"MORA",11273,"SSPT","U",,36900,"08730","RUHU","1","PB",,"F","P",,,,,,,,,43,3,"000",2018-07-27,,"07","07",,,,,,,,,,,,,"-","H","*","*","B","09","A",2018
"MORA",11273,"SSPT","N","224167927",100800,"09600","RBSA","8","P",,"U",,,"0","0","0","0","N","1","0",127,54,"300",2018-06-06,"083","10","10",,"B","B","B","B","B","B",,,,"B",,"-","-","*","*","B","04","A",2018
